Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
# 7820, Balls: Red, Red, Black, Black
# 7821, Balls: Green, Green, White, Blue
# 7822, Balls: Blue, Green, Red, Blue
# 7823, Balls: Black, Black, White, Green
# 7824, Balls: White, Blue, Blue, White
# 7825, Balls: Red, Blue, Green, Green
# 7826, Balls: Black, Red, Black, Black
# 7827, Balls: Black, Red, Blue, Black
# 7828, Balls: Blue, Black, Black, Black
# 7829, Balls: Green, Black, Green, Black
# 7830, Balls: Blue, Blue, White, Red
# 7831, Balls: Red, Green, Blue, Red
# 7832, Balls: Black, White, Black, White
# 7833, Balls: Red, Black, Green, Black
# 7834, Balls: Blue, Black, Black, Black
# 7835, Balls: Green, Green, Black, Black
# 7836, Balls: White, Blue, White, Blue
# 7837, Balls: Red, Black, Black, Blue
# 7838, Balls: Blue, Blue, Black, Black
# 7839, Balls: Black, Green, White, Black
# 7840, Balls: Green, Blue, Blue, Red
# 7841, Balls: White, Black, Blue, Black
# 7842, Balls: Green, Blue, Blue, White
# 7843, Balls: Blue, Blue, Red, Black
# 7844, Balls: Green, Green, Black, Blue
# 7845, Balls: White, Green, White, White
# 7846, Balls: Green, Blue, Green, Black
# 7847, Balls: Black, Blue, Green, Blue
# 7848, Balls: White, Red, Blue, Blue
# 7849, Balls: Red, Red, White, Blue
# 7850, Balls: Green, Black, Blue, Green
# 7851, Balls: White, Green, Green, White
# 7852, Balls: Green, Black, Black, Black
# 7853, Balls: Green, Black, Blue, Black
# 7854, Balls: Red, Green, Black, Blue
# 7855, Balls: Blue, Blue, Red, Blue
# 7856, Balls: Black, White, Green, Black
# 7857, Balls: Black, Blue, Green, White
# 7858, Balls: Blue, Blue, Red, Blue
# 7859, Balls: Blue, Black, Red, White
# 7860, Balls: White, Black, Blue, White
# 7861, Balls: Green, Black, Blue, Red
# 7862, Balls: Red, Black, Red, Red
# 7863, Balls: Red, Blue, White, White
# 7864, Balls: Black, Blue, Red, Blue
# 7865, Balls: Black, Black, Green, Blue
# 7866, Balls: Black, White, Black, Blue
# 7867, Balls: Red, Red, Black, Green
# 7868, Balls: Black, White, Red, Blue
# 7869, Balls: Green, Red, Red, Green
# 7870, Balls: Black, Blue, Blue, Green
# 7871, Balls: Red, Green, Green, Black
# 7872, Balls: White, Blue, Blue, White
# 7873, Balls: Green, Blue, Red, Black
# 7874, Balls: Black, White, Blue, Green
# 7875, Balls: White, Green, Blue, Blue
# 7876, Balls: Green, Black, Blue, Green
# 7877, Balls: Blue, White, Black, White
# 7878, Balls: White, Blue, White, Black
# 7879, Balls: Blue, Black, Blue, Blue
# 7880, Balls: White, Red, Green, Blue
# 7881, Balls: Green, Green, White, Black
# 7882, Balls: Blue, Blue, White, Blue
# 7883, Balls: Green, Green, Green, Black
# 7884, Balls: Green, Black, White, Blue
# 7885, Balls: Red, Red, Blue, Blue
# 7886, Balls: Green, Red, Black, Blue
# 7887, Balls: Black, Black, Green, Blue
# 7888, Balls: Black, Blue, Blue, Green
# 7889, Balls: White, Red, Blue, Black
# 7890, Balls: White, White, Blue, Blue
# 7891, Balls: Blue, Red, Blue, Blue
# 7892, Balls: Blue, Green, Black, Red
# 7893, Balls: Green, White, Green, Blue
# 7894, Balls: Blue, Green, White, Blue
# 7895, Balls: Blue, Blue, Black, Black
# 7896, Balls: Green, Blue, White, Blue
# 7897, Balls: Red, Red, Blue, Blue
# 7898, Balls: Green, Black, Black, Blue
# 7899, Balls: Green, Blue, White, Blue
# 7900, Balls: Black, Black, Green, Green
# 7901, Balls: Green, Red, Blue, Green
# 7902, Balls: White, Green, White, Green
# 7903, Balls: Black, Blue, Blue, Red
# 7904, Balls: White, White, White, Red
# 7905, Balls: Red, White, Blue, Blue
# 7906, Balls: Black, Blue, Black, Black
# 7907, Balls: Green, Green, White, Red
# 7908, Balls: White, White, Blue, Green
# 7909, Balls: Red, Red, Red, White
# 7910, Balls: Black, Red, White, Black
# 7911, Balls: Red, Black, White, Red
# 7912, Balls: Black, Red, Black, Green
# 7913, Balls: White, White, Black, Black
# 7914, Balls: Green, Black, White, White
# 7915, Balls: Blue, Red, Green, Black
# 7916, Balls: Blue, Green, Red, Black
# 7917, Balls: White, Green, White, Blue
# 7918, Balls: Blue, Green, Blue, Blue
# 7919, Balls: Blue, Black, Black, Black
# 7920, Balls: Blue, Red, White, Blue
# 7921, Balls: Blue, Black, Red, Green
# 7922, Balls: Green, Black, Green, Black
# 7923, Balls: Green, Blue, Blue, Green
# 7924, Balls: Black, Black, Green, Black
# 7925, Balls: Green, White, Green, Black
# 7926, Balls: White, White, White, Black
# 7927, Balls: Red, Black, Red, Blue
# 7928, Balls: Green, Black, Blue, Black
# 7929, Balls: White, Blue, Black, Blue
# 7930, Balls: Blue, Green, Black, Black
# 7931, Balls: White, Black, Green, Green
# 7932, Balls: Black, Blue, White, Red
# 7933, Balls: Green, Black, Green, Blue
# 7934, Balls: Black, Black, Blue, Green
# 7935, Balls: Red, Blue, Red, Green
# 7936, Balls: Black, Blue, Black, Blue
# 7937, Balls: White, Red, Red, Green
# 7938, Balls: White, Blue, Blue, Black
# 7939, Balls: White, Blue, Blue, Red
# 7940, Balls: Green, White, Red, Green
# 7941, Balls: Blue, Black, White, Green
# 7942, Balls: Blue, Green, Blue, Black
# 7943, Balls: White, White, Black, Red
# 7944, Balls: White, White, Black, Red
# 7945, Balls: Blue, Red, Black, Blue
# 7946, Balls: Green, Red, Black, Black
# 7947, Balls: White, White, Blue, Blue
# 7948, Balls: Blue, Black, Red, Green
# 7949, Balls: Black, Black, Red, Black
# 7950, Balls: White, Blue, Green, Blue
# 7951, Balls: Black, White, Blue, Red
# 7952, Balls: Black, Blue, Green, Green
# 7953, Balls: Green, White, Blue, Blue
# 7954, Balls: Blue, Blue, Green, Green
# 7955, Balls: Blue, Black, Black, Blue
# 7956, Balls: White, Green, Black, Red
# 7957, Balls: Red, Black, Black, Red
# 7958, Balls: Green, White, Black, Black
# 7959, Balls: Green, Green, Black, Red
# 7960, Balls: Green, Black, Green, Blue
# 7961, Balls: Green, Black, White, Blue
# 7962, Balls: Black, Blue, Black, White
# 7963, Balls: White, Blue, Green, Black
# 7964, Balls: Blue, White, Black, Black
# 7965, Balls: Black, White, Blue, Green
# 7966, Balls: Red, Blue, Black, Black
# 7967, Balls: Green, Black, Red, Black
# 7968, Balls: Black, White, Blue, Blue
# 7969, Balls: Blue, White, Black, Black
# 7970, Balls: White, Black, Blue, Red
# 7971, Balls: Green, Green, White, Green
# 7972, Balls: Blue, Green, Black, Blue
# 7973, Balls: Green, Green, Black, Green
# 7974, Balls: Green, Blue, White, Black
# 7975, Balls: Black, Black, Red, Blue
# 7976, Balls: White, Green, White, Red
# 7977, Balls: Green, Green, Blue, Black
# 7978, Balls: Blue, Blue, Red, Black
# 7979, Balls: Green, White, White, Black
# 7980, Balls: White, Black, Green, White
# 7981, Balls: Blue, Black, Black, Red
# 7982, Balls: White, Black, Red, White
# 7983, Balls: Green, Blue, Green, Red
# 7984, Balls: Blue, Green, Green, Black
# 7985, Balls: White, White, Black, Blue
# 7986, Balls: White, Blue, Blue, White
# 7987, Balls: Black, Black, Red, Red
# 7988, Balls: Blue, Green, Black, Black
# 7989, Balls: Green, Green, Green, Green
# 7990, Balls: Green, Black, Blue, Green
# 7991, Balls: Green, White, Green, White
# 7992, Balls: White, Red, Blue, Blue
# 7993, Balls: Black, Red, Red, Black
# 7994, Balls: Blue, Black, Green, Red
# 7995, Balls: Green, Red, White, White
# 7996, Balls: Green, Red, Green, Blue
# 7997, Balls: Blue, Black, Black, White
# 7998, Balls: Blue, Black, Blue, White
# 7999, Balls: Blue, Red, Red, Green
# 8000, Balls: Blue, Blue, Green, Black
# 8001, Balls: Green, Blue, White, Green
# 8002, Balls: Green, Blue, Blue, Black
# 8003, Balls: Green, White, Black, Red
# 8004, Balls: Black, Black, Red, White
# 8005, Balls: Black, Green, Black, Red
# 8006, Balls: Green, Black, Red, Red
# 8007, Balls: Blue, White, Green, Blue
# 8008, Balls: Black, Blue, Green, Green
# 8009, Balls: Green, White, Black, Black
# 8010, Balls: White, Black, Black, Red
# 8011, Balls: Blue, Red, Red, Red
# 8012, Balls: Green, Red, Red, Green
# 8013, Balls: Blue, Blue, Green, Blue
# 8014, Balls: Black, Black, Black, Green
# 8015, Balls: Blue, White, Blue, Black
# 8016, Balls: Blue, Red, Green, Black
# 8017, Balls: Black, Red, Black, Red
# 8018, Balls: Black, Red, White, Red
# 8019, Balls: Black, Red, White, Green
# 8020, Balls: Blue, Black, Black, Black
# 8021, Balls: Red, Black, Black, Black
# 8022, Balls: White, Blue, White, Blue
# 8023, Balls: Black, Black, Green, White
# 8024, Balls: Red, Black, Black, White
# 8025, Balls: Red, Black, Blue, Blue
# 8026, Balls: Blue, Blue, Blue, Blue
# 8027, Balls: Green, Black, White, White
# 8028, Balls: Black, Blue, Black, Black
# 8029, Balls: Green, Blue, Red, Red
# 8030, Balls: Red, Blue, Green, Green
# 8031, Balls: White, Blue, Black, Blue
# 8032, Balls: Black, Black, Blue, Green
# 8033, Balls: Green, White, White, White
# 8034, Balls: Green, Blue, Blue, Black
# 8035, Balls: Blue, Black, Red, Black
# 8036, Balls: Red, Red, Green, Blue
# 8037, Balls: White, Green, Red, Black
# 8038, Balls: White, Blue, Green, Black
# 8039, Balls: White, Blue, Green, Blue
# 8040, Balls: Red, White, Blue, White
# 8041, Balls: Green, Red, Black, Green
# 8042, Balls: Blue, Black, Blue, Red
# 8043, Balls: Green, Blue, Black, Green
# 8044, Balls: Blue, Green, Red, Black
# 8045, Balls: Black, Blue, Green, Black
# 8046, Balls: Green, Blue, Red, Black
# 8047, Balls: Black, Green, Black, Red
# 8048, Balls: Blue, Black, Red, Red
# 8049, Balls: Blue, Red, Blue, Black
# 8050, Balls: Blue, Black, Black, Black
# 8051, Balls: Blue, Red, Red, Green
# 8052, Balls: White, Blue, Green, White
# 8053, Balls: Green, Red, Red, Green
# 8054, Balls: White, Green, Red, Red
# 8055, Balls: Blue, Blue, Black, White
# 8056, Balls: Black, Red, Green, Green
# 8057, Balls: Red, White, Blue, Red
# 8058, Balls: Blue, Green, Green, Blue
# 8059, Balls: Blue, Red, Red, Red
# 8060, Balls: Red, White, Black, Red
# 8061, Balls: Green, Black, Red, White
# 8062, Balls: Black, Green, Blue, Blue
# 8063, Balls: White, Green, White, White
# 8064, Balls: White, Black, Blue, White
# 8065, Balls: Red, Black, Green, White
# 8066, Balls: Black, White, Red, White
# 8067, Balls: Black, Green, White, Green
# 8068, Balls: Green, Blue, Green, Green
# 8069, Balls: Black, Blue, Green, Green
# 8070, Balls: White, Red, Blue, White
# 8071, Balls: Black, White, Blue, Blue
# 8072, Balls: Green, Black, Red, Black
# 8073, Balls: Blue, White, White, Black
# 8074, Balls: Black, Black, Blue, Blue
# 8075, Balls: Black, Black, White, Black
# 8076, Balls: White, Black, White, Green
# 8077, Balls: Black, Red, Green, White
# 8078, Balls: Red, Black, Black, Black
# 8079, Balls: White, White, Black, Green
# 8080, Balls: Green, White, Black, Green
# 8081, Balls: Black, Black, White, Black
# 8082, Balls: Green, Blue, White, White
# 8083, Balls: Black, White, White, Red
# 8084, Balls: White, Black, Black, Black
# 8085, Balls: White, Blue, Red, Green
# 8086, Balls: Black, Green, Black, Green
# 8087, Balls: White, Black, Black, Blue
# 8088, Balls: Black, Blue, Red, White
# 8089, Balls: Red, Black, Black, Red
# 8090, Balls: Green, Black, Red, Green
# 8091, Balls: Black, Black, Blue, Black
# 8092, Balls: Blue, Black, White, Green
# 8093, Balls: White, Red, Blue, Blue
# 8094, Balls: Green, Blue, White, White
# 8095, Balls: Red, Red, Blue, Red
# 8096, Balls: Blue, Red, Green, Green
# 8097, Balls: Blue, Green, Black, Green
# 8098, Balls: Green, Blue, Blue, Black
# 8099, Balls: Black, Black, Black, Red
# 8100, Balls: Blue, White, Green, White
# 8101, Balls: Red, Red, Blue, Blue
# 8102, Balls: Black, Black, Black, White
# 8103, Balls: Blue, White, White, Green
# 8104, Balls: Black, Blue, Black, Red
# 8105, Balls: Black, White, Green, Black
# 8106, Balls: Blue, White, Black, Blue
# 8107, Balls: Blue, Red, Black, Red
# 8108, Balls: Red, White, Blue, Black
# 8109, Balls: White, White, Black, White
# 8110, Balls: Black, Blue, Black, Green
# 8111, Balls: Blue, Black, White, Red
# 8112, Balls: White, Black, White, Black
# 8113, Balls: Red, Red, Red, Black
# 8114, Balls: White, Green, Black, White
# 8115, Balls: Green, White, Black, White
# 8116, Balls: Green, Blue, Green, Green
# 8117, Balls: Green, Green, Black, Black
# 8118, Balls: Black, Black, Red, Blue
# 8119, Balls: Blue, Green, Red, Black
# 8120, Balls: Black, Green, White, Black
# 8121, Balls: White, Green, Green, Green
# 8122, Balls: Green, Green, Blue, Green
# 8123, Balls: Black, Blue, Black, White
# 8124, Balls: Green, White, White, Black
# 8125, Balls: White, Blue, Red, Blue
# 8126, Balls: Black, Red, Green, Black
# 8127, Balls: White, Green, Black, Red
# 8128, Balls: Green, Green, Black, Black
# 8129, Balls: Blue, Black, Black, Green
# 8130, Balls: Red, Blue, Green, Red
# 8131, Balls: Blue, Black, Blue, Red
# 8132, Balls: Green, Green, Black, Red
# 8133, Balls: Blue, Blue, Red, Green
# 8134, Balls: Green, Red, Black, Blue
# 8135, Balls: Black, Green, White, Blue
# 8136, Balls: Red, White, Red, Black
# 8137, Balls: Green, Red, Black, Green
# 8138, Balls: Red, Green, Green, Black
# 8139, Balls: Blue, Blue, Blue, Blue
# 8140, Balls: Black, Blue, Blue, Black
# 8141, Balls: Black, Green, Blue, White
# 8142, Balls: White, Blue, Black, White
# 8143, Balls: Red, Black, White, Black
# 8144, Balls: White, Green, Black, Black
# 8145, Balls: Blue, Blue, Black, Black
# 8146, Balls: Green, Green, Black, Blue
# 8147, Balls: Blue, White, Red, White
# 8148, Balls: Black, White, Green, White
# 8149, Balls: Blue, Red, Black, Green
# 8150, Balls: Green, Red, Green, White
# 8151, Balls: Black, Blue, Red, Black
# 8152, Balls: Blue, Green, Green, Black
# 8153, Balls: White, Black, Green, Black
# 8154, Balls: Blue, Blue, Blue, Green
# 8155, Balls: Blue, Green, Red, Blue
# 8156, Balls: Blue, Black, Black, Red
# 8157, Balls: Blue, Green, Green, Blue
# 8158, Balls: Black, Blue, Black, Blue
# 8159, Balls: Red, White, Black, White
# 8160, Balls: White, Black, Black, White
# 8161, Balls: Green, Blue, Blue, Blue
# 8162, Balls: Black, Black, Green, Black
# 8163, Balls: Blue, Black, Blue, Red
# 8164, Balls: Blue, Blue, Red, Blue
# 8165, Balls: Black, Black, White, Blue
# 8166, Balls: Blue, Blue, Black, Green
# 8167, Balls: Blue, Red, Black, Red
# 8168, Balls: White, White, Blue, Green
# 8169, Balls: White, Blue, Blue, Green
# 8170, Balls: Black, Green, Blue, Black
# 8171, Balls: Blue, Blue, Green, Blue
# 8172, Balls: Black, White, Blue, Blue
# 8173, Balls: Black, Black, Blue, Green
# 8174, Balls: Blue, Blue, Black, Black
# 8175, Balls: Red, Blue, Green, Black
# 8176, Balls: Green, Blue, Blue, Blue
# 8177, Balls: Green, Black, White, Black
# 8178, Balls: White, Green, Blue, Blue
# 8179, Balls: Black, Blue, Red, Black
# 8180, Balls: Red, Red, Black, Black
# 8181, Balls: Blue, Red, Black, Black
# 8182, Balls: Green, Blue, Green, Green
# 8183, Balls: Green, Green, Blue, Blue
# 8184, Balls: Blue, Black, Green, Black
# 8185, Balls: Red, Green, Green, Blue
# 8186, Balls: Black, Blue, Red, Red
# 8187, Balls: White, White, Blue, Black
# 8188, Balls: Black, Black, White, Green
# 8189, Balls: White, Green, White, Black
# 8190, Balls: Blue, Red, White, Blue
# 8191, Balls: Blue, Black, Red, Black
# 8192, Balls: Black, Red, White, Black
# 8193, Balls: Black, Blue, Blue, White
# 8194, Balls: Black, Red, Blue, Green
# 8195, Balls: Green, White, White, White
# 8196, Balls: White, Black, White, White
# 8197, Balls: Red, Blue, Red, Blue
# 8198, Balls: Red, Black, Green, Blue
# 8199, Balls: Black, Black, Black, Blue
# 8200, Balls: Blue, Green, Black, Blue
# 8201, Balls: Black, White, Green, Blue
# 8202, Balls: White, Black, Green, Blue
# 8203, Balls: Black, Black, Blue, Blue
# 8204, Balls: White, Green, Black, Black
# 8205, Balls: Blue, Black, Green, White
# 8206, Balls: Green, Blue, Black, Blue
# 8207, Balls: Blue, White, Black, White
# 8208, Balls: Blue, Blue, Black, Blue
# 8209, Balls: Blue, Blue, Black, Blue
# 8210, Balls: White, Black, Blue, Black
# 8211, Balls: White, Blue, Blue, Green
# 8212, Balls: Black, Green, Black, White
# 8213, Balls: Green, Black, Black, Red
# 8214, Balls: White, White, Blue, Blue
# 8215, Balls: Blue, Red, Red, Blue
# 8216, Balls: Black, Black, Black, Red
# 8217, Balls: Blue, Blue, Blue, Black
# 8218, Balls: Green, White, Blue, Blue
# 8219, Balls: Black, White, Green, White
# 8220, Balls: White, Red, Black, Blue
# 8221, Balls: Red, White, Red, Red
# 8222, Balls: Black, White, Blue, Red
# 8223, Balls: Blue, Black, Green, White
# 8224, Balls: Blue, Blue, Green, Red
# 8225, Balls: Blue, Green, Green, Blue
# 8226, Balls: Green, Red, White, Black
# 8227, Balls: Blue, Red, Red, Green
# 8228, Balls: Green, Green, Black, White
# 8229, Balls: Green, White, White, Green
# 8230, Balls: Green, Blue, Green, Red
# 8231, Balls: Black, White, Blue, Blue
# 8232, Balls: Red, Blue, White, White
# 8233, Balls: Black, Red, Black, Blue
# 8234, Balls: Red, Red, Red, Black
# 8235, Balls: White, White, White, Blue
# 8236, Balls: Blue, Green, Black, Red
# 8237, Balls: Blue, White, Red, Black
# 8238, Balls: White, Blue, Blue, Green
# 8239, Balls: Red, Black, Green, Blue
# 8240, Balls: Blue, White, Black, Black
# 8241, Balls: White, Black, White, White
# 8242, Balls: Blue, Blue, Black, Green
# 8243, Balls: White, White, Black, White
# 8244, Balls: Blue, Blue, White, White
# 8245, Balls: Black, Black, Green, Blue
# 8246, Balls: White, Red, Black, Green
# 8247, Balls: White, Blue, Black, Blue
# 8248, Balls: Black, Green, Black, White
# 8249, Balls: Black, White, Black, Black
# 8250, Balls: White, White, Blue, White
# 8251, Balls: Green, Black, Black, Blue
# 8252, Balls: Blue, Red, Blue, Blue
# 8253, Balls: Red, Blue, Black, Green
# 8254, Balls: Blue, Green, White, Green
# 8255, Balls: Black, White, Green, Black
# 8256, Balls: Black, White, White, Blue
# 8257, Balls: Black, Blue, Red, Green
# 8258, Balls: Green, Green, Black, Green
# 8259, Balls: White, Blue, Green, White
# 8260, Balls: Green, Black, Black, Blue
# 8261, Balls: Black, White, Green, White
# 8262, Balls: Blue, Black, Black, Black
# 8263, Balls: Green, Green, Black, Green
# 8264, Balls: Blue, Green, Black, Black
# 8265, Balls: Blue, Black, White, Blue
# 8266, Balls: Blue, Green, Black, Green
# 8267, Balls: Black, White, White, Black
# 8268, Balls: Green, Blue, Black, Black
# 8269, Balls: Red, Black, Green, Green
# 8270, Balls: White, Black, Black, Green
# 8271, Balls: White, Blue, Black, Blue
# 8272, Balls: Blue, Black, Black, Green
# 8273, Balls: Red, White, Black, Green
# 8274, Balls: Blue, Green, Black, White
# 8275, Balls: Black, Red, Green, Black
# 8276, Balls: Red, Blue, Black, Black
# 8277, Balls: Blue, Blue, Red, Green
# 8278, Balls: Black, Black, Green, Green
# 8279, Balls: Green, Black, Blue, White
# 8280, Balls: Red, Black, White, Blue
# 8281, Balls: Black, Red, Red, Green
# 8282, Balls: Black, Black, Black, Green
# 8283, Balls: Red, Blue, Black, Black
# 8284, Balls: Blue, Blue, Blue, Black
# 8285, Balls: Red, Green, White, Blue
# 8286, Balls: White, White, Black, Blue
# 8287, Balls: Red, Blue, Black, Red
# 8288, Balls: Red, Black, Green, Black
# 8289, Balls: Black, White, Blue, Blue
# 8290, Balls: Green, Blue, Green, Blue
# 8291, Balls: Red, Blue, Green, White
# 8292, Balls: Blue, Black, Blue, Blue
# 8293, Balls: Red, Black, Red, Green
# 8294, Balls: Red, Green, Green, Black
# 8295, Balls: Blue, Blue, Black, White
# 8296, Balls: Blue, Blue, Black, Blue
# 8297, Balls: Green, Green, White, Blue
# 8298, Balls: Blue, Blue, Blue, Black
# 8299, Balls: Blue, Red, Blue, Black
# 8300, Balls: Black, Green, Red, Red
# 8301, Balls: Green, Blue, Green, Black
# 8302, Balls: Green, Blue, Green, Green
# 8303, Balls: Black, Blue, White, Red
# 8304, Balls: White, Blue, White, White
# 8305, Balls: Blue, Blue, Black, Black
# 8306, Balls: Red, Black, Black, Red
# 8307, Balls: Green, Black, Blue, Green
# 8308, Balls: Green, Black, Green, White
# 8309, Balls: Black, Black, Blue, Black
# 8310, Balls: Blue, White, White, Blue
# 8311, Balls: Black, Green, Blue, Blue
# 8312, Balls: White, Black, Green, Red
# 8313, Balls: Blue, Blue, Blue, Black
# 8314, Balls: Red, Black, Blue, Black
# 8315, Balls: Blue, Blue, Red, Red
# 8316, Balls: White, Black, White, White
# 8317, Balls: Blue, Black, Blue, Blue
# 8318, Balls: Blue, Black, Green, Green
# 8319, Balls: Green, Blue, Red, White
# 8320, Balls: White, White, Red, Green
# 8321, Balls: Green, Blue, Green, Green
# 8322, Balls: White, White, Green, Blue
# 8323, Balls: Blue, Red, Red, Red
# 8324, Balls: White, White, Black, Red
# 8325, Balls: White, Blue, Red, Black
# 8326, Balls: Blue, Green, Blue, Green
# 8327, Balls: Black, Green, Blue, Blue
# 8328, Balls: Blue, Red, Green, Green
# 8329, Balls: Black, Red, Green, Black
# 8330, Balls: Black, White, Black, Blue
# 8331, Balls: Red, Black, Black, Green
# 8332, Balls: Blue, Blue, Black, Green
# 8333, Balls: Red, Black, Green, Green
# 8334, Balls: White, White, Blue, White
# 8335, Balls: Blue, Blue, Blue, Black
# 8336, Balls: Black, White, Red, Red
# 8337, Balls: Blue, Blue, Black, White
# 8338, Balls: Blue, Green, Black, Blue
# 8339, Balls: Blue, White, Black, Red
# 8340, Balls: Red, Blue, Green, White
# 8341, Balls: White, Green, Red, Green
# 8342, Balls: Black, Blue, Red, Black
# 8343, Balls: White, Green, Blue, Green
# 8344, Balls: Black, Blue, Green, Blue
# 8345, Balls: Blue, Red, Blue, Green
# 8346, Balls: Green, White, Red, White
# 8347, Balls: Green, Red, Blue, Black
# 8348, Balls: Green, Green, Black, Green
# 8349, Balls: Green, Green, Blue, Blue
# 8350, Balls: Blue, Blue, Black, Red
# 8351, Balls: White, Green, Green, Blue
# 8352, Balls: White, Blue, White, White
# 8353, Balls: Black, Blue, Green, Green
# 8354, Balls: Green, Blue, Green, Red
# 8355, Balls: White, Blue, White, Blue
# 8356, Balls: Green, Green, White, White
# 8357, Balls: Green, Blue, Black, White
# 8358, Balls: White, Green, White, Blue
# 8359, Balls: Black, Red, White, Black
# 8360, Balls: Red, Black, White, Red
# 8361, Balls: Green, Blue, Black, Green
# 8362, Balls: Blue, Blue, Green, Green
# 8363, Balls: White, Black, Green, Black
# 8364, Balls: Black, Blue, Red, Blue
# 8365, Balls: Red, Red, Red, Blue
# 8366, Balls: Black, Black, Green, Red
# 8367, Balls: Blue, Black, Green, Blue
# 8368, Balls: Blue, Green, Black, Black
# 8369, Balls: Red, Blue, Black, Black
# 8370, Balls: White, White, White, Blue
# 8371, Balls: Red, Red, Red, White
# 8372, Balls: Black, Black, Blue, Black
# 8373, Balls: White, Red, Black, Blue
# 8374, Balls: Blue, Green, Green, Green
# 8375, Balls: Red, Blue, Green, Green
# 8376, Balls: Blue, White, Black, Blue
# 8377, Balls: Blue, Blue, Blue, Black
# 8378, Balls: Black, Green, Black, Blue
# 8379, Balls: Green, Blue, Red, Blue
# 8380, Balls: Green, Blue, Black, Green
# 8381, Balls: Black, Blue, White, Blue
# 8382, Balls: Blue, Blue, Red, Blue
# 8383, Balls: Green, Black, Blue, Green
# 8384, Balls: Blue, Green, White, Black
# 8385, Balls: White, Blue, Blue, Green
# 8386, Balls: Blue, Blue, Black, Black
# 8387, Balls: Black, White, Blue, Blue
# 8388, Balls: White, Blue, Green, White
# 8389, Balls: Red, Black, Green, Green
# 8390, Balls: Black, Green, Green, Green
# 8391, Balls: White, Blue, Blue, White
# 8392, Balls: Green, Black, Blue, Blue
# 8393, Balls: Black, Green, White, Black
# 8394, Balls: Black, Blue, Blue, Green
# 8395, Balls: Blue, Black, Red, Blue
# 8396, Balls: Black, Red, White, Black
# 8397, Balls: Green, Black, Green, Blue
# 8398, Balls: Red, Blue, Black, Black
# 8399, Balls: Blue, Black, Black, Black
# 8400, Balls: White, Black, Blue, Black
# 8401, Balls: Black, Blue, Blue, Green
# 8402, Balls: Red, Blue, Black, Black
# 8403, Balls: Black, Black, Green, Red
# 8404, Balls: Black, Black, Blue, Green
# 8405, Balls: White, Black, Black, Red
# 8406, Balls: Blue, White, Blue, White
# 8407, Balls: Black, Blue, Blue, Black
# 8408, Balls: Green, Red, White, Black
# 8409, Balls: White, White, Green, Red
# 8410, Balls: Black, Green, Black, White
# 8411, Balls: Blue, Black, Black, White
# 8412, Balls: Black, Blue, Blue, Green
# 8413, Balls: Red, Black, Red, Green
# 8414, Balls: Green, White, Green, Green
# 8415, Balls: Black, White, Red, Blue
# 8416, Balls: Green, Green, Black, Black
# 8417, Balls: Green, Black, Red, Green
# 8418, Balls: White, Green, Black, Blue
# 8419, Balls: Black, White, Red, Red
# 8420, Balls: Black, Black, Black, Green
# 8421, Balls: Blue, Green, Black, Red
# 8422, Balls: Green, Black, Green, Black
# 8423, Balls: Blue, Blue, Blue, Black
# 8424, Balls: White, White, Blue, Red
# 8425, Balls: Green, Red, Green, Blue
# 8426, Balls: Blue, Blue, Black, Black
# 8427, Balls: White, Blue, Green, Black
# 8428, Balls: Black, Green, Green, Black
# 8429, Balls: Green, Blue, Red, White
# 8430, Balls: White, Blue, Black, White
# 8431, Balls: Black, Blue, Black, Red
# 8432, Balls: Red, Black, Black, Black
# 8433, Balls: Black, Black, White, White
# 8434, Balls: Blue, Black, Green, Blue
# 8435, Balls: Blue, Red, Green, Black
# 8436, Balls: Red, Blue, Green, Red
# 8437, Balls: Blue, Blue, Black, Blue
# 8438, Balls: Green, Blue, Red, Red
# 8439, Balls: Green, White, Black, Blue
# 8440, Balls: Black, Green, Red, Blue
# 8441, Balls: Blue, Blue, Blue, White
# 8442, Balls: White, White, Red, Blue
# 8443, Balls: Green, Green, Red, Green
# 8444, Balls: Green, Red, Black, White
# 8445, Balls: Black, Blue, Blue, Blue
# 8446, Balls: Blue, Black, Blue, Blue
# 8447, Balls: Green, Blue, Blue, Blue
# 8448, Balls: White, Black, Black, White
# 8449, Balls: Red, Red, Red, Green
# 8450, Balls: White, Green, White, Black
# 8451, Balls: White, White, Blue, White
# 8452, Balls: Black, Green, Green, Green
# 8453, Balls: Blue, Green, Red, Green
# 8454, Balls: Blue, White, Black, Black
# 8455, Balls: Green, Red, Blue, Red
# 8456, Balls: Red, Blue, Red, Red
# 8457, Balls: Blue, White, Blue, Blue
# 8458, Balls: Green, Black, Blue, Green
# 8459, Balls: Green, Black, White, Blue
# 8460, Balls: Blue, Blue, Black, White
# 8461, Balls: Black, Black, Blue, Red
# 8462, Balls: Green, White, Green, Black
# 8463, Balls: Green, Green, Blue, White
# 8464, Balls: Blue, Blue, Blue, Blue
# 8465, Balls: Green, White, Black, Black
# 8466, Balls: Blue, Green, Blue, Black
# 8467, Balls: Red, Black, Blue, Green
# 8468, Balls: Blue, White, Green, Green
# 8469, Balls: Blue, Blue, Blue, Red
# 8470, Balls: Black, Blue, Green, Black
# 8471, Balls: Blue, Black, White, Green
# 8472, Balls: White, White, Black, Blue
